Food,Calories,Protein,Carbs,Fats,Meal,Type,Veg/Non-Veg
Chicken biryani,250,12,40,10,Lunch,Base,Non Veg
" Pulao (Vegetable, Peas, Jeera)",200,6,35,5,Lunch,Base,Veg
 Fried rice ,210,7,38,7,Lunch,Base,Veg
 Rajma chawal,230,8,42,8,Lunch,Base,Veg
 Chole chawal,240,9,44,9,Lunch,Base,Veg
 Khichdi,180,6,30,4,Lunch,Side,Veg
 Sambhar rice,190,7,32,5,Lunch,Base,Veg
 Lemon rice,200,6,34,6,Lunch,Base,Veg
 Curd rice,180,5,30,4,Lunch,Base,Veg
Chapati with masala curd,220,8,36,8,Lunch,Base,Veg
Masala dosa,250,9,40,12,Lunch,Base,Veg
Kadhi chawal,170,6,32,6,Lunch,Base,Veg
Shahi paneer,300,15,25,20,Lunch,Side,Veg
Boondi raita,120,5,10,8,Lunch,Side,Veg
 Roti with sabzi,200,6,34,6,Lunch,Base,Veg
 Parantha with curd,250,7,40,10,Lunch,Base,Veg
 Naan with butter chicken,350,20,45,15,Lunch,Base,Non Veg
Tamarind chutney,150,3,20,5,Lunch,Side,Veg
 Tandoori roti with dal makhani,250,9,40,7,Lunch,Base,Veg
 Missi roti with chutney,220,8,35,6,Lunch,Base,Veg
 Bhature with chole,300,10,45,12,Lunch,Base,Veg
 Thepla with yogurt,260,9,38,10,Lunch,Base,Veg
 Litti chokha,280,8,42,10,Lunch,Base,Veg
Chole Kulche,290,10,46,9,Lunch,Base,Veg
 Bajra roti with saag,230,7,40,5,Lunch,Base,Veg
 Phulka with dal tadka,220,8,36,6,Lunch,Base,Veg
 Pav bhaji,280,7,45,10,Lunch,Side,Veg
 Akki roti (rice flour roti),210,5,38,6,Lunch,Base,Veg
 Makki roti with sarson saag,250,8,40,8,Lunch,Base,Veg
 Fresh vegetables salad,50,2,10,0.5,Lunch,Side,Veg
Pickles,60,1,6,4,Lunch,Side,Veg
Buttermilk,40,3,4,1,Lunch,Side,Veg
Spring rolls,250,6,35,12,Lunch,Side,Veg
Noodles,300,8,50,8,Lunch,Side,Veg
Pasta ,280,7,45,10,Lunch,Base,Veg
Taco salad,270,9,40,12,Lunch,Side,Veg
 Fruit salad,80,1,18,0.5,Lunch,Side,Veg
 Coleslaw (Cabbage salad),150,2,15,10,Lunch,Side,Veg
 Quinoa salad,120,4,20,3,Lunch,Side,Veg
 Sprouts salad,100,7,18,1,Lunch,Side,Veg
 Lentil salad,120,8,22,2,Lunch,Side,Veg
 Falafel with tahini sauce,300,10,25,18,Lunch,Base,Veg
 Cucumber & yogurt raita,70,3,5,4,Lunch,Side,Veg
 Beetroot & carrot salad,80,1.5,16,0.5,Lunch,Side,Veg
 Butter chicken,300,15,10,22,Lunch,Base,Non-Veg
 Chicken curry with rice,250,12,35,8,Lunch,Base,Non-Veg
 Mutton curry with naan,350,14,40,18,Lunch,Base,Non-Veg
 Fish curry with rice,280,15,30,10,Lunch,Base,Non-Veg
 Egg curry with chapati,250,10,35,8,Lunch,Base,Non-Veg
 Tandoori chicken,220,25,3,10,Lunch,Base,Non-Veg
 Chicken kebabs,250,23,5,12,Lunch,Base,Non-Veg
 Mutton kebabs,300,20,5,18,Lunch,Base,Non-Veg
 Grilled salmon with vegetables,250,22,8,15,Lunch,Base,Non-Veg
 Chicken stew,180,18,8,8,Lunch,Base,Non-Veg
Dahi aloo,150,4,18,7,Lunch,Side,Veg
Eggplant mash,120,3,15,5,Lunch,Side,Veg
Okra with curd,100,4,10,4,Lunch,Side,Veg
Vegetable pulao,200,5,35,6,Lunch,Side,Veg
Spinach rice,180,4,30,5,Lunch,Base,Veg
Mango rice,190,3,35,5,Lunch,Base,Veg
Chapati with aloo methi,210,5,30,8,Lunch,Base,Veg
Bottle gourd curry,80,2,10,3,Lunch,Side,Veg
Methi rice,190,4,32,6,Lunch,Base,Veg
Vegetable khichdi,160,5,28,4,Lunch,Side,Veg
Masala maggie,450,8,60,20,Lunch,Base,Veg
Mango chutney,150,1,35,0.5,Lunch,Side,Veg
Mixed fruit pulao,190,3,35,5,Lunch,Base,Veg
Chana masala,180,8,25,6,Lunch,Side,Veg
Tomato curry,120,2,15,5,Lunch,Side,Veg
Masala khichdi,170,5,30,4,Lunch,Base,Veg
 Chowmein,280,8,40,10,Lunch,Base,Veg
